Code,Name,Market,Close,Change,Volume,Amount,UpdatedAt
007340,DN오토모티브,KOSPI,37200,-0.27,335513,12574593725,2026-04-04 21:27
081660,미스토홀딩스,KOSPI,40550,-1.34,72326,2958134250,2026-04-04 21:27
192820,코스맥스,KOSPI,189300,-2.67,69187,13293308750,2026-04-04 21:27
322000,HD현대에너지솔루션,KOSPI,191100,30.0,3337733,590663560200,2026-04-04 21:27
035900,JYP Ent.,KOSDAQ,60200,0.17,99285,6002939600,2026-04-04 21:27
020150,롯데에너지머티리얼즈,KOSPI,40450,3.06,118680,4798738750,2026-04-04 21:27
005440,현대지에프홀딩스,KOSPI,13450,-1.82,197308,2715218330,2026-04-04 21:27
002790,아모레퍼시픽홀딩스,KOSPI,27250,-1.45,46692,1288962225,2026-04-04 21:27
011210,현대위아,KOSPI,76600,2.13,84001,6405249050,2026-04-04 21:27
030530,원익홀딩스,KOSDAQ,26850,-2.19,627216,17101515100,2026-04-04 21:27
001120,LX인터내셔널,KOSPI,53100,-0.56,280831,15014951250,2026-04-04 21:27
031980,피에스케이홀딩스,KOSDAQ,93500,-5.56,195033,18515614450,2026-04-04 21:27
023590,다우기술,KOSPI,44450,-0.56,25195,1125860950,2026-04-04 21:27
010170,대한광통신,KOSDAQ,12740,25.89,76311778,947055707515,2026-04-04 21:27
462870,시프트업,KOSPI,33000,2.33,62547,2051358450,2026-04-04 21:27
041510,에스엠,KOSDAQ,85000,-0.47,78978,6771234900,2026-04-04 21:27
395400,SK리츠,KOSPI,6430,0.47,127008,815822865,2026-04-04 21:27
067310,하나마이크론,KOSDAQ,28900,0.87,657656,19057130375,2026-04-04 21:27
100090,SK오션플랜트,KOSPI,30200,6.53,10066236,304133996025,2026-04-04 21:27
078600,대주전자재료,KOSDAQ,121100,2.63,243474,29789515050,2026-04-04 21:27
039200,오스코텍,KOSDAQ,48950,0.31,215146,10468552750,2026-04-04 21:27
000155,두산우,KOSPI,465000,2.76,11843,5507623750,2026-04-04 21:27
222800,심텍,KOSDAQ,49550,1.23,351846,17517979300,2026-04-04 21:27
082920,비츠로셀,KOSDAQ,40650,5.04,974788,39547028125,2026-04-04 21:27
099320,쎄트렉아이,KOSDAQ,167400,-5.9,294483,51218818300,2026-04-04 21:27
003540,대신증권,KOSPI,36100,2.85,46314,1674698550,2026-04-04 21:27
131970,두산테스나,KOSDAQ,94700,-2.57,369958,34940214500,2026-04-04 21:27
483650,달바글로벌,KOSPI,147500,0.2,34673,5172457850,2026-04-04 21:27
098460,고영,KOSDAQ,26450,0.95,882218,23476867175,2026-04-04 21:27
069620,대웅제약,KOSPI,155700,-2.14,32959,5206796000,2026-04-04 21:27
161890,한국콜마,KOSPI,76100,0.0,121611,9296815950,2026-04-04 21:27
007070,GS리테일,KOSPI,21450,-0.69,84450,1825838700,2026-04-04 21:27
003570,SNT다이내믹스,KOSPI,52600,6.69,62641,3224221050,2026-04-04 21:27
089030,테크윙,KOSDAQ,46700,0.97,582057,27148158150,2026-04-04 21:27
000500,가온전선,KOSPI,104200,3.78,15448,1594117800,2026-04-04 21:27
361610,SK아이이테크놀로지,KOSPI,21050,-0.71,119104,2528778200,2026-04-04 21:27
069960,현대백화점,KOSPI,75500,-1.18,81224,6170458200,2026-04-04 21:27
073240,금호타이어,KOSPI,5910,-1.5,236597,1417513100,2026-04-04 21:27
475830,오름테라퓨틱,KOSDAQ,79800,0.38,253972,20127582150,2026-04-04 21:27
008770,호텔신라,KOSPI,43100,0.47,107035,4626369700,2026-04-04 21:27
437730,삼현,KOSDAQ,52900,5.59,285428,14691661475,2026-04-04 21:27
006040,동원산업,KOSPI,37850,0.93,51575,1960437275,2026-04-04 21:27
005070,코스모신소재,KOSPI,51200,-0.39,168965,8661073300,2026-04-04 21:27
101490,에스앤에스텍,KOSDAQ,77400,0.65,123812,9650680700,2026-04-04 21:27
140860,파크시스템스,KOSDAQ,235500,-4.27,40295,9598302500,2026-04-04 21:27
006280,녹십자,KOSPI,140600,-0.35,41027,5792253950,2026-04-04 21:27
491000,리브스메드,KOSDAQ,65700,0.92,241811,15959636000,2026-04-04 21:27
290650,엘앤씨바이오,KOSDAQ,65900,-1.05,106149,7048271750,2026-04-04 21:27
007810,코리아써키트,KOSPI,68000,-4.9,552604,37846045800,2026-04-04 21:27
298020,효성티앤씨,KOSPI,376000,2.59,30631,11796294500,2026-04-04 21:27
085660,차바이오텍,KOSDAQ,17520,-1.74,377895,6667892375,2026-04-04 21:27
323280,태성,KOSDAQ,52600,0.57,224339,11797986050,2026-04-04 21:27
012630,HDC,KOSPI,26650,-3.09,213508,5789787600,2026-04-04 21:27
060370,LS마린솔루션,KOSDAQ,30000,2.74,551398,17137653300,2026-04-04 21:27
038500,삼표시멘트,KOSDAQ,14380,0.42,1728596,25347008695,2026-04-04 21:27
003380,하림지주,KOSDAQ,13540,-0.59,899380,12361840660,2026-04-04 21:27
065350,신성델타테크,KOSDAQ,53800,-0.19,75262,4059337500,2026-04-04 21:27
100790,미래에셋벤처투자,KOSDAQ,27450,6.6,6089624,173023986650,2026-04-04 21:27
077970,STX엔진,KOSPI,36200,13.66,542117,19251454300,2026-04-04 21:27
001800,오리온홀딩스,KOSPI,23100,-3.95,103265,2423815050,2026-04-04 21:27
003530,한화투자증권,KOSPI,6720,3.23,1441072,9711187695,2026-04-04 21:27
020560,아시아나항공,KOSPI,6960,0.87,56410,394196850,2026-04-04 21:27
007310,오뚜기,KOSPI,355500,0.0,5402,1937076750,2026-04-04 21:27
417200,LS머트리얼즈,KOSDAQ,20900,5.24,3274656,68478842950,2026-04-04 21:27
127120,제이에스링크,KOSDAQ,41150,6.06,290447,12035724850,2026-04-04 21:27
232140,와이씨,KOSDAQ,17110,0.82,565507,9743951405,2026-04-04 21:27
034230,파라다이스,KOSPI,15020,-8.91,1936639,29419386575,2026-04-04 21:27
082640,동양생명,KOSPI,8460,2.42,231686,1956707360,2026-04-04 21:27
195940,HK이노엔,KOSDAQ,47600,-1.55,183455,8789722300,2026-04-04 21:27
294870,HDC현대산업개발,KOSPI,20450,1.24,262336,5442322900,2026-04-04 21:27
330590,롯데리츠,KOSPI,4660,0.43,128219,596621311,2026-04-04 21:27
229640,LS에코에너지,KOSPI,43850,2.21,114387,5045359475,2026-04-04 21:27
030610,교보증권,KOSPI,11660,2.28,50261,586116955,2026-04-04 21:27
080220,제주반도체,KOSDAQ,38500,-0.52,855401,33189577225,2026-04-04 21:27
115180,큐리언트,KOSDAQ,35600,-1.52,245493,8679993250,2026-04-04 21:27
445680,큐리옥스바이오시스템즈,KOSDAQ,77400,-0.13,428027,33130699100,2026-04-04 21:27
003090,대웅,KOSPI,22650,-0.66,72781,1662271625,2026-04-04 21:27
090710,휴림로봇,KOSDAQ,10880,0.74,4134688,44792693550,2026-04-04 21:27
466100,클로봇,KOSDAQ,51500,0.59,158537,8208278050,2026-04-04 21:27
032350,롯데관광개발,KOSPI,16140,-1.1,815400,13191380220,2026-04-04 21:27
082270,젬백스,KOSDAQ,28600,-4.35,332102,9583684350,2026-04-04 21:27
048410,현대바이오,KOSDAQ,13000,-1.52,931110,12193631320,2026-04-04 21:27
003240,태광산업,KOSPI,1124000,1.81,3048,3481621500,2026-04-04 21:27
281740,레이크머티리얼즈,KOSDAQ,18970,-0.32,440678,8427754240,2026-04-04 21:27
000210,DL,KOSPI,59500,4.57,157021,9482241100,2026-04-04 21:27
189300,인텔리안테크,KOSDAQ,115800,1.22,141195,16955729750,2026-04-04 21:27
086450,동국제약,KOSDAQ,27400,-1.62,1050467,28256330325,2026-04-04 21:27
415640,KB발해인프라,KOSPI,9960,0.2,54859,545208300,2026-04-04 21:27
185750,종근당,KOSPI,88200,0.11,16844,1493184300,2026-04-04 21:27
004000,롯데정밀화학,KOSPI,47150,0.86,40200,1907059075,2026-04-04 21:27
131290,티에스이,KOSDAQ,108800,-2.68,71227,7746105200,2026-04-04 21:27
397030,에이프릴바이오,KOSDAQ,51500,-0.19,174841,9089946000,2026-04-04 21:27
181710,NHN,KOSPI,36350,1.82,35136,1276492550,2026-04-04 21:27
183300,코미코,KOSDAQ,113800,-3.64,92305,10602138600,2026-04-04 21:27
032500,케이엠더블유,KOSDAQ,28500,3.26,472410,13455542525,2026-04-04 21:27
300720,한일시멘트,KOSPI,16070,-0.25,71784,1162651140,2026-04-04 21:27
000080,하이트진로,KOSPI,16840,1.45,91820,1544627365,2026-04-04 21:27
035760,CJ ENM,KOSDAQ,53500,-0.56,47575,2579879950,2026-04-04 21:27
096530,씨젠,KOSDAQ,22350,0.45,81677,1834103700,2026-04-04 21:27
095610,테스,KOSDAQ,59900,2.04,176538,10583298850,2026-04-04 21:27
001740,SK네트웍스,KOSPI,5220,-3.69,1771344,9464379070,2026-04-04 21:27
051915,LG화학우,KOSPI,150000,0.07,15986,2418184100,2026-04-04 21:27
